C3D_Name,Column_1_Output_Name,Column_2_Output_Name,Column_3_Output_Name
LumbRIGtoLumAngVel,LumbRIGtoLumFlexExtAngVel,LumbRIGtoLumAddAbdAngVel,LumbRIGtoLumIntExtRotAngVel
LumbRIGtoLumAngVelDeg,LumbRIGtoLumFlexExtAngVelDeg,LumbRIGtoLumAddAbdAngVelDeg,LumbRIGtoLumIntExtRotAngVelDeg
LUMRIGAngle,LumbarRigFlexExt,LumbarRigLatFlex,LumbarRigRot
LUMRIGtoLumAngle,LumbarRigLumbarFlexExt,LumbarRigLumbarAddAbd,LumbarRigLumbarIntExtRot
LumtoPelAngAcc,LumtoPelFlexExtAngAcc,LumtoPelAddAbdAngAcc,LumtoPelIntExtRotAngAcc
LumtoPelAngAccDeg,LumtoPelFlexExtAngAccDeg,LumtoPelAddAbdAngAccDeg,LumtoPelIntExtRotAngAccDeg
LumtoPelAngVel,LumtoPelFlexExtAngVel,LumtoPelAddAbdAngVel,LumtoPelIntExtRotAngVel
LumtoPelAngVelDeg,LumtoPelFlexExtAngVelDeg,LumtoPelAddAbdAngVelDeg,LumtoPelIntExtRotAngVelDeg
LumtoTorsoAngle,LumbarTorsoFlexExt,LumbarTorsoAddAbd,LumbarTorsIntExtRot
LUppArmGlobAngAcc,LUppArmGlobFlexExtAngAcc,LUppArmGlobAddAbdAngAcc,LUppArmGlobIntExtRotAngAcc
LUppArmGlobAngAccDeg,LUppArmGlobFlexExtAngAccDeg,LUppArmGlobAddAbdAngAccDeg,LUppArmGlobIntExtRotAngAccDeg
LUppArmGlobAngVel,LUppArmFlexExtGlobAngVel,LUppArmAddAbdGlobAngVel,LUppArmIntExtRotGlobAngVel
LUppArmGlobAngVelDeg,LUppArmGlobFlexExtAngVelDeg,LUppArmGlobAddAbdAngVelDeg,LUppArmGlobIntExtRotAngVelDeg
LUpperArmGlobalAngle,LUpperArmFlexExt,LUpperArmAddAbd,LUpperArmRot
LWJC,LWJCX,LWJCY,LWJCZ
LWristAngAcc,LWristFlexExtAngAcc,LWristAddAbdAngAcc,LWristIntExtRotAngAcc
LWristAngAccDeg,LWristFlexExtAngAccDeg,LWristAddAbdAngAccDeg,LWristIntExtRotAngAccDeg
LWristAngle,LWristFlexExt,LWristAddAbd,LWristIntExtRot
LWristAngVel,LWristFlexExtAngVel,LWristAddAbdAngVel,LWristIntExtRotAngVel
LWristAngVelDeg,LWristFlexExtAngVelDeg,LWristAddAbdAngVelDeg,LWristIntExtRotAngVelDeg
LWristForce,LWristForceX,LWristForceY,LWristForceZ
LWristMoments,LWristFlexExtMom,LWristAddAbdMom,LWristIntExtRotMom
LWristPosition,LWristPositionX,LWristPositionY,LWristPositionZ
LWristPowerTerms,LWristFlexExtPower,LWristAddAbdPower,LWristIntExtRotPower
LWristPowerTermsNorm,LWristFlexExtPowerNorm,LWristAddAbdPowerNorm,LWristIntExtRotPowerNorm
MidPelvis,MidPelvisX,MidPelvisY,MidPelvisZ
MidShldr,MidShldrX,MidShldrY,MidShldrZ
mLWJC,mLWJCX,mLWJCY,mLWJCZ
mRWJC,mRWJCX,mRWJCY,mRWJCZ
peLElbowAngAcc,peLElbowFlexExtAngAcc,peLElbowAddAbdAngAcc,peLElbowIntExtAngAcc
peLElbowAngAccDeg,peLElbowFlexExtAngAccDeg,peLElbowAddAbdAngAccDeg,peLElbowIntExtRotAngAccDeg
peLElbowAngle,peLElbowFlexExt,peLElbowAddAbd,peLElbowIntExtRot
peLElbowAngVel,peLElbowFlexExtAngVel,peLElbowAddAbdAngVel,peLElbowIntExtRotAngVel
peLElbowAngVelDeg,peLElbowFlexExtAngVelDeg,peLElbowAddAbdAngVelDeg,peLElbowIntExtRotAngVelDeg
PelGlobAngAcc,PelGlobFlexExtAngAcc,PelGlobLatFlexAngAcc,PelGlobRotAngAcc
PelGlobAngAccDeg,PelGlobFlexExtAngAccDeg,PelGlobLatFlexAngAccDeg,PelGlobRotAngAccDeg
PelGlobAngVel,PelGlobFlexExtAngVel,PelGlobOblAngVel,PelGlobRotAngVel
PelGlobAngVelDeg,PelGlobFlexExtAngVelDeg,PelGlobLatFlexAngVelDeg,PelGlobRotAngVelDeg
peLShldrAngAcc,peLShldrFlexExtAngAcc,peLShldrAddAbdAngAcc,peLShldrIntExtRotAngAcc
